id,Status_pred,Prob
42671,0,0.1182
42672,1,0.9367
42673,0,0.3633
42674,0,0.001
42675,0,0.1417
42676,0,0.347
42677,0,0.3796
42678,0,0.047
42679,0,0.0514
42680,0,0.4931
42681,0,0.0077
42682,1,0.8893
42683,1,0.9364
42684,0,0.0382
42685,0,0.1168
42686,0,0.3732
42687,0,0.0417
42688,0,0.3887
42689,1,0.8475
42690,0,0.3548
42691,0,0.0337
42692,0,0.1013
42693,0,0.4683
42694,0,0.0284
42695,0,0.3648
42696,0,0.4206
42697,0,0.3357
42698,0,0.395
42699,0,0.3965
42700,0,0.3901
42701,0,0.1648
42702,0,0.0951
42703,0,0.3992
42704,0,0.2877
42705,0,0.0565
42706,0,0.0397
42707,0,0.0052
42708,0,0.0517
42709,0,0.1229
42710,0,0.2447
42711,0,0.372
42712,0,0.4675
42713,0,0.0517
42714,0,0.2723
42715,0,0.2432
42716,0,0.2633
42717,0,0.0926
42718,0,0.215
42719,0,0.0498
42720,1,0.7476
42721,1,0.6214
42722,0,0.3213
42723,0,0.1652
42724,0,0.2855
42725,0,0.3108
42726,0,0.1424
42727,1,0.6781
42728,0,0.1383
42729,1,0.9205
42730,1,0.7786
42731,0,0.0082
42732,0,0.4612
42733,1,0.8181
42734,0,0.4524
42735,0,0.1475
42736,1,0.7842
42737,0,0.3614
42738,0,0.0034
42739,0,0.1516
42740,0,0.1472
42741,1,0.6531
42742,0,0.3171
42743,1,0.6533
42744,1,0.7546
42745,1,0.5689
42746,0,0.0614
42747,1,0.8657
42748,1,0.903
42749,0,0.3015
42750,0,0.4078
42751,0,0.025
42752,0,0.0442
42753,0,0.4436
42754,0,0.2534
42755,1,0.784
42756,0,0.2827
42757,0,0.0527
42758,1,0.797
42759,1,0.7358
42760,0,0.1169
42761,0,0.0145
42762,1,0.9208
42763,0,0.237
42764,1,0.9333
42765,0,0.148
42766,0,0.0205
42767,0,0.0095
42768,1,0.6557
42769,0,0.0471
42770,0,0.0353
42771,1,0.8094
42772,0,0.0954
42773,1,0.594
42774,0,0.1138
42775,0,0.1705
42776,0,0.0912
42777,0,0.2195
42778,0,0.3194
42779,0,0.0553
42780,0,0.1057
42781,0,0.2185
42782,0,0.0666
42783,0,0.1758
42784,1,0.6314
42785,0,0.3682
42786,0,0.0739
42787,1,0.6042
42788,0,0.4123
42789,1,0.9549
42790,0,0.1101
42791,1,0.5737
42792,0,0.0379
42793,0,0.1604
42794,0,0.0748
42795,1,0.6747
42796,1,0.8171
42797,0,0.0596
42798,1,0.5109
42799,0,0.0409
42800,1,0.6437
42801,1,0.62
42802,0,0.0562
42803,0,0.1486
42804,0,0.06
42805,0,0.0554
42806,0,0.3846
42807,0,0.2034
42808,0,1e-04
42809,0,0.244
42810,1,0.8374
42811,1,0.7227
42812,0,0.0852
42813,1,0.5513
42814,0,0.3793
42815,0,0.0558
42816,0,0.0639
42817,1,0.5427
42818,0,0.1422
42819,0,0.1411
42820,1,0.538
42821,0,0.081
42822,1,0.807
42823,1,0.6272
42824,0,0.0856
42825,0,0.0115
42826,1,0.952
42827,0,0.3365
42828,1,0.5845
42829,0,0.2681
42830,1,0.6646
42831,1,0.9284
42832,0,0.0689
42833,1,0.8952
42834,0,0.1706
42835,1,0.7179
42836,0,0.3203
42837,1,0.8165
42838,0,0.0061
42839,1,0.7729
42840,0,0.0307
42841,0,0.0279
42842,0,0.4173
42843,1,0.9561
42844,0,0.3802
42845,0,0.1414
42846,1,0.7711
42847,0,0.0612
42848,0,0.0069
42849,0,0.0408
42850,0,0.2532
42851,0,0.2699
42852,1,0.6677
42853,1,0.6549
42854,0,0.1076
42855,0,0.0368
42856,0,0.0945
42857,1,0.6119
42858,0,0.176
42859,0,0.0519
42860,0,0.4994
42861,0,0.0533
42862,0,0.0123
42863,0,0.1603
42864,1,0.8922
42865,1,0.7229
42866,0,0.297
42867,0,0.0321
42868,1,0.7729
42869,0,0.0821
42870,0,0.0615
42871,1,0.7946
42872,0,0.3252
42873,0,0.1066
42874,0,0.4764
42875,1,0.7986
42876,1,0.6908
42877,0,0.2678
42878,0,0.4943
42879,1,0.6951
42880,0,0.0075
42881,0,0.0054
42882,1,0.6186
42883,0,0.4879
42884,0,0.1877
42885,1,0.825
42886,1,0.6999
42887,0,0.069
42888,0,0.3237
42889,1,0.827
42890,1,0.7791
42891,0,0.4763
42892,0,0.1253
42893,0,0.0773
42894,0,0.0816
42895,0,0.1241
42896,0,0.0281
42897,1,0.7218
42898,1,0.6895
42899,0,0.0835
42900,0,0.2459
42901,1,0.7645
42902,0,0.2937
42903,1,0.6391
42904,0,0.4748
42905,0,0.0065
42906,0,0.1075
42907,1,0.5448
42908,0,0.4171
42909,0,0.2742
42910,0,0.1488
42911,1,0.8624
42912,0,0.3484
42913,0,0.357
42914,0,0.3151
42915,1,0.5182
42916,0,0.0042
42917,0,0.0298
42918,0,0.3388
42919,0,0.3221
42920,0,0.2797
42921,1,0.6731
42922,1,0.6927
42923,1,0.8664
42924,1,0.6725
42925,1,0.5902
42926,0,0.0388
42927,0,0.2014
42928,0,0.4977
42929,0,0.0681
42930,1,0.7475
42931,0,0.2745
42932,1,0.9306
42933,0,0.0565
42934,1,0.837
42935,1,0.6241
42936,1,0.9185
42937,1,0.7785
42938,1,0.9235
42939,0,0.1596
42940,0,0.2087
42941,1,0.6476
42942,0,0.1522
42943,1,0.7069
42944,1,0.5219
42945,1,0.6397
42946,0,0.466
42947,0,0.2437
42948,0,0.3881
42949,0,0.0646
42950,1,0.8433
42951,0,0.1643
42952,0,0.2918
42953,1,0.771
42954,0,0.3069
42955,1,0.9003
42956,0,0.2652
42957,1,0.6132
42958,0,0.1814
42959,0,0.4146
42960,0,0.067
42961,0,0.4541
42962,1,0.9082
42963,0,0.098
42964,0,0.0265
42965,0,0.0436
42966,1,0.778
42967,1,0.8333
42968,0,0.001
42969,0,0.121
42970,0,0.0181
42971,0,0.2346
42972,1,0.8262
42973,1,0.8664
42974,0,0.2161
42975,0,0.254
42976,0,0.0516
42977,0,0.0863
42978,1,0.8518
42979,0,0.0958
42980,1,0.8221
42981,0,0.286
42982,0,0.2998
42983,0,0.0757
42984,0,0.3706
42985,1,0.5878
42986,1,0.739
42987,1,0.8126
42988,0,0.0251
42989,0,0.4964
42990,1,0.7975
42991,0,0.0473
42992,0,0.0466
42993,0,0.081
42994,0,0.4316
42995,1,0.7797
42996,0,0.1119
42997,1,0.7814
42998,1,0.7377
42999,1,0.8131
43000,0,0.4495
43001,0,0.0436
43002,0,0.3872
43003,1,0.7856
43004,1,0.6772
43005,0,0.0972
43006,1,0.7709
43007,1,0.5604
43008,0,0.0757
43009,0,0.3633
43010,0,0.3295
43011,0,0.1339
43012,0,0.3107
43013,0,0.063
43014,1,0.5531
43015,0,0.2619
43016,0,0.4144
43017,0,0.2958
43018,1,0.5422
43019,0,0.2349
43020,1,0.5978
43021,0,0.1761
43022,0,0.3181
43023,0,0.4178
43024,0,0.1437
43025,0,0.3431
43026,0,0.339
43027,0,0.0354
43028,0,0.1347
43029,1,0.5822
43030,0,0.3825
43031,0,0.0568
43032,0,0.0318
43033,1,0.6982
43034,0,0.1779
43035,0,0.2295
43036,0,0.0498
43037,1,0.5919
43038,0,0.358
43039,0,0.2756
43040,0,0.2041
43041,0,0.2248
43042,0,0.2554
43043,1,0.6664
43044,0,0.0375
43045,0,0.1382
43046,1,0.8377
43047,0,0.0641
43048,0,0.0481
43049,0,0.069
43050,0,0.3021
43051,0,0.0622
43052,0,0.0068
43053,1,0.757
43054,0,0.0259
43055,0,0.1361
43056,0,0.3368
43057,0,0.0672
43058,1,0.9031
43059,1,0.8771
43060,0,0.0138
43061,0,0.0327
43062,1,0.535
43063,1,0.8756
43064,1,0.6007
43065,0,0.1969
43066,0,0.0978
43067,0,0.0804
43068,1,0.788
43069,0,0.052
43070,0,0.1913
43071,0,0.0075
43072,0,0.0906
43073,0,0.2939
43074,0,0.4828
43075,0,0.1625
43076,0,0.0196
43077,0,0.1205
43078,0,0.2952
43079,1,0.5201
43080,0,0.0431
43081,0,0.0996
43082,0,0.1742
43083,0,0.1688
43084,0,0.0291
43085,0,0.1056
43086,0,0.0326
43087,1,0.6243
43088,0,0.2175
43089,1,0.878
43090,1,0.7304
43091,1,0.8697
43092,0,0.0121
43093,1,0.7994
43094,0,0.434
43095,0,0.0274
43096,0,0.4743
43097,0,0.12
43098,0,0.3998
43099,1,0.8217
43100,0,0.3648
43101,0,0.2747
43102,1,0.7645
43103,0,0.0106
43104,0,0.0279
43105,0,0.2512
43106,0,0.3702
43107,0,0.3261
43108,0,0.0482
43109,0,0.4078
43110,1,0.824
43111,0,0.249
43112,1,0.828
43113,0,0.1346
43114,1,0.7016
43115,0,0.2919
43116,1,0.5051
43117,0,0.1032
43118,0,0.3648
43119,1,0.6815
43120,1,0.795
43121,0,0.0604
43122,0,0.4262
43123,1,0.8168
43124,1,0.7468
43125,1,0.6165
43126,0,0.2876
43127,1,0.5451
43128,1,0.9739
43129,0,0.4842
43130,0,0.3953
43131,0,0.4098
43132,0,0.0747
43133,1,0.8637
43134,1,0.7685
43135,1,0.7626
43136,0,0.1177
43137,0,0.1351
43138,0,0.1958
43139,0,0.099
43140,0,0.1373
43141,0,0.0885
43142,1,0.923
43143,0,0.1621
43144,1,0.7598
43145,1,0.9393
43146,0,0.0732
43147,0,0.1456
43148,1,0.8462
43149,0,0.0193
43150,1,0.8435
43151,0,0.0388
43152,0,0.0323
43153,0,0.1821
43154,0,0.1484
43155,0,0.0876
43156,0,0.0571
43157,0,0.0418
43158,1,0.5039
43159,0,0.3002
43160,1,0.8697
43161,0,0.0376
43162,0,0.3829
43163,0,0.0601
43164,0,0.0458
43165,1,0.8519
43166,0,0.0678
43167,0,0.0058
43168,0,0.0136
43169,1,0.5623
43170,0,0.0341
43171,1,0.7807
43172,1,0.9686
43173,0,0.1697
43174,1,0.6364
43175,1,0.886
43176,0,0.4172
43177,0,0.0765
43178,0,0.0642
43179,1,0.739
43180,1,0.7996
43181,0,0.0764
43182,1,0.8936
43183,0,0.0468
43184,1,0.8556
43185,1,0.9211
43186,0,0.0099
43187,0,0.4975
43188,1,0.68
43189,0,0.0459
43190,0,0.2712
43191,0,0.3875
43192,1,0.8311
43193,0,0.1069
43194,0,0.3595
43195,0,0.2896
43196,1,0.7123
43197,0,0.2725
43198,1,0.9304
43199,0,0.0353
43200,0,0.368
43201,0,0.4554
43202,0,0.1112
43203,0,0.0535
43204,0,0.3463
43205,0,0.1154
43206,1,0.652
43207,0,0.0336
43208,1,0.8483
43209,0,0.1804
43210,0,0.232
43211,0,0.1906
43212,0,0.4164
43213,0,0.242
43214,0,0.0665
43215,0,0.2199
43216,1,0.5928
43217,0,0.0834
43218,0,0.464
43219,0,0.0007
43220,1,0.7305
43221,1,0.8281
43222,0,0.2981
43223,0,0.0188
43224,0,0.0915
43225,0,0.1891
43226,0,0.4644
43227,1,0.7159
43228,0,0.1965
43229,0,0.1541
43230,0,0.2121
43231,1,0.7377
43232,0,0.4586
43233,0,0.4484
43234,0,0.1795
43235,0,0.0033
43236,0,0.0044
43237,0,0.3328
43238,0,0.1008
43239,0,0.0508
43240,0,0.0289
43241,1,0.5511
43242,0,0.2456
43243,0,0.4213
43244,1,0.8545
43245,0,0.3633
43246,0,0.0146
43247,0,0.4086
43248,1,0.5421
43249,1,0.8957
43250,1,0.7267
43251,1,0.5198
43252,1,0.9462
43253,0,0.1132
43254,1,0.6716
43255,1,0.9001
43256,1,0.8026
43257,0,0.2516
43258,1,0.8771
43259,0,0.0048
43260,1,0.9022
43261,0,0.1553
43262,0,0.055
43263,0,0.448
43264,0,0.3715
43265,0,0.3246
43266,1,0.776
43267,0,0.2027
43268,0,0.0378
43269,0,0.0275
43270,1,0.7531
43271,0,0.137
43272,0,0.4288
43273,1,0.8825
43274,0,0.1559
43275,0,0.2125
43276,0,0.3829
43277,0,0.2874
43278,1,0.8334
43279,1,0.8096
43280,0,0.0857
43281,0,0.0333
43282,0,0.4148
43283,1,0.8479
43284,0,0.1851
43285,0,0.2402
43286,1,0.6789
43287,0,0.382
43288,0,0.1797
43289,1,0.7424
43290,0,0.0035
43291,0,0.0637
43292,0,0.1071
43293,1,0.8218
43294,0,0.3936
43295,0,0.263
43296,1,0.7751
43297,1,0.585
43298,0,0.1131
43299,0,0.0018
43300,0,0.061
43301,0,0.4897
43302,0,0.3606
43303,0,0.2272
43304,0,0.3342
43305,0,0.1357
43306,1,0.5778
43307,0,0.129
43308,0,0.3708
43309,1,0.923
43310,0,0.3935
43311,0,0.1331
43312,0,0.2235
43313,1,0.5666
43314,0,0.3963
43315,1,0.9008
43316,0,0.2437
43317,0,0.1371
43318,0,0.1621
43319,0,0.3567
43320,1,0.7338
43321,1,0.6831
43322,0,0.422
43323,1,0.6457
43324,0,0.4636
43325,0,0.4272
43326,0,0.2319
43327,1,0.6464
43328,0,0.1786
43329,0,0.2727
43330,0,0.2346
43331,0,0.025
43332,1,0.9308
43333,0,0.2187
43334,0,0.4158
43335,0,0.077
43336,0,0.0401
43337,1,0.7418
43338,1,0.6972
43339,0,0.0077
43340,0,0.0071
43341,1,0.9333
43342,1,0.7334
43343,1,0.7522
43344,0,0.3081
43345,0,0.2471
43346,1,0.6868
43347,1,0.5843
43348,1,0.8796
43349,0,0.113
43350,0,0.1257
43351,1,0.8505
43352,1,0.8086
43353,1,0.8369
43354,1,0.769
43355,1,0.5371
43356,0,0.1424
43357,1,0.8934
43358,0,0.0324
43359,0,0.1986
43360,0,0.258
43361,0,0.4297
43362,0,0.0181
43363,0,0.0682
43364,0,0.2128
43365,1,0.8258
43366,1,0.7819
43367,1,0.8285
43368,1,0.7471
43369,0,0.2359
43370,1,0.8955
43371,0,0.189
43372,0,0.4641
43373,1,0.7838
43374,0,0.1263
43375,0,0.1917
43376,0,0.165
43377,0,0.311
43378,1,0.6975
43379,0,0.0248
43380,1,0.6998
43381,0,0.1184
43382,0,0.0466
43383,0,0.1385
43384,1,0.7155
43385,0,0.0479
43386,1,0.752
43387,0,0.0152
43388,1,0.7788
43389,1,0.9489
43390,0,0.1974
43391,1,0.5331
43392,0,0.062
43393,0,0.2373
43394,0,0.4203
43395,1,0.7267
43396,0,0.1245
43397,0,0.1022
43398,0,0.377
43399,1,0.8975
43400,0,0.3145
43401,1,0.9443
43402,0,0.0484
43403,0,0.2155
43404,0,0.2394
43405,0,0.0698
43406,0,0.3076
43407,0,0.0486
43408,1,0.7638
43409,0,0.0744
43410,1,0.508
43411,1,0.6674
43412,0,0.0865
43413,1,0.5827
43414,0,0.0501
43415,0,0.2196
43416,1,0.6433
43417,0,0.0762
43418,1,0.8041
43419,1,0.754
43420,0,0.0769
43421,1,0.9075
43422,1,0.9425
43423,0,0.1483
43424,0,0.0206
43425,0,0.1318
43426,1,0.6426
43427,1,0.886
43428,1,0.828
43429,1,0.8063
43430,0,0.0294
43431,1,0.5299
43432,0,0.0002
43433,0,0.1936
43434,1,0.6556
43435,0,0.0048
43436,1,0.8602
43437,0,0.0192
43438,0,0.1495
43439,1,0.6827
43440,0,0.0021
43441,1,0.92
43442,0,0.0621
43443,1,0.7665
43444,1,0.6786
43445,0,0.2903
43446,1,0.8818
43447,1,0.514
43448,0,0.2765
43449,0,0.1677
43450,1,0.7853
43451,0,0.0464
43452,0,0.0275
43453,1,0.7449
43454,0,0.0835
43455,0,0.3975
43456,0,0.1271
43457,0,0.1901
43458,1,0.6087
43459,0,0.0485
43460,1,0.7594
43461,0,0.0707
43462,0,0.2139
43463,0,0.3599
43464,0,0.4068
43465,0,0.0115
43466,0,0.1335
43467,0,0.0823
43468,0,0.1932
43469,0,0.1167
43470,0,0.014
43471,0,0.4766
43472,0,0.303
43473,0,0.4807
43474,0,0.3134
43475,0,0.075
43476,0,0.0855
43477,0,0.003
43478,0,0.3407
43479,1,0.8979
43480,1,0.8689
43481,0,0.2514
43482,1,0.9403
43483,0,0.4636
43484,0,0.0615
43485,0,0.1431
43486,0,0.0014
43487,1,0.5839
43488,1,0.5887
43489,1,0.8073
43490,0,0.1957
43491,0,0.026
43492,0,0.147
43493,1,0.557
43494,0,0.0599
43495,0,0.0597
43496,1,0.7129
43497,1,0.8193
43498,1,0.7879
43499,0,0.2197
43500,0,0.4781
43501,1,0.5556
43502,1,0.7436
43503,0,0.0201
43504,0,0.0796
43505,0,0.25
43506,1,0.8513
43507,0,0.0052
43508,1,0.9089
43509,1,0.7917
43510,0,0.1279
43511,0,0.4573
43512,0,0.329
43513,0,0.0703
